#L TT           EE
579 7.531058E-01 1.499530E+00
580 7.597475E-01 1.517280E+00
581 7.674382E-01 1.532702E+00
582 7.706873E-01 1.540570E+00
583 7.794771E-01 1.554901E+00
584 7.821096E-01 1.568182E+00
585 7.906059E-01 1.582795E+00
586 7.918394E-01 1.594745E+00
587 8.025483E-01 1.591105E+00
588 8.045627E-01 1.608858E+00
589 8.107125E-01 1.618778E+00
590 8.173273E-01 1.634904E+00
591 8.229867E-01 1.630463E+00
592 8.229199E-01 1.652169E+00
593 8.335198E-01 1.667617E+00
594 8.418531E-01 1.681734E+00
595 8.500030E-01 1.687710E+00
596 8.528708E-01 1.704912E+00
597 8.566403E-01 1.725021E+00
598 8.690741E-01 1.725973E+00
599 8.786323E-01 1.742491E+00
600 8.770445E-01 1.758319E+00
601 8.842640E-01 1.776257E+00
602 8.880762E-01 1.781314E+00
603 8.984606E-01 1.801362E+00
604 9.075271E-01 1.802975E+00
605 9.064263E-01 1.821932E+00
606 9.142550E-01 1.830709E+00
607 9.190233E-01 1.846603E+00
608 9.299036E-01 1.864381E+00
609 9.403936E-01 1.877703E+00
610 9.414882E-01 1.896792E+00
611 9.466901E-01 1.912301E+00
612 9.553082E-01 1.913451E+00
613 9.619315E-01 1.931382E+00
614 9.664542E-01 1.938491E+00
615 9.761240E-01 1.957095E+00
616 9.864274E-01 1.965703E+00
617 9.922313E-01 1.996505E+00
618 9.992625E-01 1.988118E+00
619 1.005503E+00 2.004064E+00
620 1.013025E+00 2.022020E+00
